Einrichtung,Einrichtungstyp,Informationstyp,Verwendung,Granularität,URL/where to find,Format,Quellentyp,Einschränkungen,Jahre,Aktion
Transparenzportal IFG Personenbezogen,Bundesbehörde,Förderungen ab 1500€ namentlich nach Informationsfreiheitsgesetz,Rohdaten,Einzelperson | Organisation,https://transparenzportal.gv.at/tdb/tp/menu_veroeffentlichungInformationsfreiheitsgesetz,HTML-Tabelle | CSV,primär,nur ab Sept. 2025 - Lücke 2022-2024,2025-2026,manuell extrahieren
Transparenzportal ,Bundesbehörde,Allgemeine Info zu Auszahlungssummen: Förderung von Einzelvorhaben und Jahrestätigkeiten im Bereich der Musik ,Kontextinformation,Aggregiert,https://transparenzportal.gv.at/tdb/tp/situation/npo/kunst-und-kultur/musik/1055227.html,HTLM,sekundär,keine Rohdaten,2026,verwerfen
Transparenzportal ,Bundesbehörde,Förderungsmaßnahmen Auszahlungen,Rohdaten,Aggregiert,https://transparenzportal.gv.at/tdb/tp/menu_veroeffentlichungInformationsfreiheitsgesetz, Portal | CSV | XLS,primär,vollständig,2024-2026,herunterladen
Stadt Wien,Behörde,"Kunst-, Kultur- und Wissenschaftsbericht",Bericht,Aggregiert,https://www.wien.gv.at/kontakt/ma07-kunstbericht,PDF,sekundär,vollständig,2020-2024,manuell
MA7,Kulturabteilung Stadt Wien,Förderungen Musik Wien – IFG Zusage,Verwaltungsdokument,Organisation,IFG-Zusage.pdf,PDF,primär,vollständig,2026,manuell
MA7,Kulturabteilung Stadt Wien,Förderempfehlungen Beirat Musik,Verwaltungsdokument,Einzelperson | Organisation,empfehlungen-musikbeirat-2026.pdf,PDF,primär,Teilweise – nur Empfehlung,2026,manuell
MA7,Stadtbehörde,Publikationen (Berichte) Einblick in die Verteilung der vorhandenen Fördermittel,Bericht | Verwaltungsdokument,Aggregiert,https://www.wien.gv.at/kontakt/ma07-publikationen,PDF,sekundär,vollständig,2023-2024,verwerfen→ Juli
data.gv.at,Behörde,Förderungen Musik ,Verwaltungsdokument,Einzelperson | Organisation ,https://www.data.gv.at/datasets/https-piveau-eu-set-data-coo_3000_114_2_2236298?locale=de,PDF,primär,teilweise geschwärzt,2024-2027,manuell
data.gv.at,Behörde,Befragung - Kulturstrategie 2030. der Stadt Wien,Studie,Aggregiert,https://www.data.gv.at/datasets/ec1ee870-b9ea-4557-b8a5-0c3c8d9e1172?locale=de,PDF,sekundär,vollständig,2023-2026,verwerfen→ Juli
statistik.at Open Data,Bundesbehörde,Portal Statistikdaten Österreich,Kontextinformation,Aggregiert,https://www.statistik.at/services/tools/datenzugang/opendata,HTLM,sekundär,variabel,,verwerfen→ mai
musicaustria.com Förderungen Wien,Bundesverband,Förderungsübersicht Musik Wien ,Programmbeschreibung,Aggregiert,https://www.musicaustria.at/bundeslaender/wien/foerderungen/,HTLM,sekundär,vollständig,actual,verwerfen→ Juli
mica DB Organisationesuche,Bunderverband,Datenbank Musikorganisationen Österreich,Rohdaten | Verzeichnis,Organisation,https://db.musicaustria.at/organisationensuche,HTLM-Tabelle,primär,vollständig,actual,manuell
IG Kultur Wien Interessensvertretung,Verein ,Interessensvertretung freie Kulturszene Wien,Bericht | Kontextinformation,Aggregiert,https://www.igkulturwien.net/, HTLM | PDF,sekundär,vollständig,2018-2024,verwerfen→ Juli
